Date,NSEI_OPEN,NSEI_HIGH,NSEI_LOW,NSEI_CLOSE,NSEI_ADJ_CLOSE,NSEI_VOLUME,NSEI_DAILY_RETURNS
2019-11-05,11974.599609375,11978.9501953125,11861.900390625,11917.2001953125,11917.2001953125,632000,-0.2018173043904281
2019-11-06,11911.5,12002.900390625,11850.25,11966.0498046875,11966.0498046875,603400,0.4099084396871566
2019-11-07,12021.099609375,12021.400390625,11946.849609375,12012.0498046875,12012.0498046875,563000,0.3844209304726398
2019-11-08,11987.150390625,12034.150390625,11888.75,11908.150390625,11908.150390625,789300,-0.8649599006986697
2019-11-11,11879.2001953125,11932.650390625,11853.9501953125,11913.4501953125,11913.4501953125,549000,0.04450569159482054
2019-11-13,11908.2998046875,11946.7998046875,11823.2001953125,11840.4501953125,11840.4501953125,659000,-0.6127528029514329
2019-11-14,11858.75,11895.650390625,11802.650390625,11872.099609375,11872.099609375,559500,0.2672990768123773
2019-11-15,11904.2001953125,11973.650390625,11879.25,11895.4501953125,11895.4501953125,580200,0.1966845520657623
2019-11-18,11915.150390625,11946.2001953125,11867.599609375,11884.5,11884.5,514400,-0.09205364347466549
2019-11-19,11919.4501953125,11958.849609375,11881.75,11940.099609375,11940.099609375,613900,0.46783297046573136
2019-11-20,12004.75,12038.599609375,11966.0498046875,11999.099609375,11999.099609375,646700,0.4941332311304558
2019-11-21,12025.650390625,12028.2001953125,11956.900390625,11968.400390625,11968.400390625,557700,-0.2558460196964596
2019-11-22,11967.2998046875,11968.099609375,11883.5,11914.400390625,11914.400390625,486800,-0.45118811401312353
2019-11-25,11922.4501953125,12084.5,11919.75,12073.75,12073.75,534300,1.3374538722098483
2019-11-26,12110.2001953125,12132.4501953125,12006.349609375,12037.7001953125,12037.7001953125,1201300,-0.29858001604721185
2019-11-27,12068.5,12114.900390625,12055.150390625,12100.7001953125,12100.7001953125,584200,0.5233557820665036
2019-11-28,12132.099609375,12158.7998046875,12099.9501953125,12151.150390625,12151.150390625,620500,0.4169196368656758
2019-11-29,12146.2001953125,12147.400390625,12017.400390625,12056.0498046875,12056.0498046875,804400,-0.7826467690735917
2019-12-02,12137.0498046875,12137.150390625,12023.7001953125,12048.2001953125,12048.2001953125,720900,-0.06510929783939412
2019-12-03,12067.650390625,12068.599609375,11956.400390625,11994.2001953125,11994.2001953125,605800,-0.4481997238144242
2019-12-04,11969.9501953125,12054.7001953125,11935.2998046875,12043.2001953125,12043.2001953125,747200,0.4085307832292884
2019-12-05,12071.25,12081.2001953125,11998.75,12018.400390625,12018.400390625,562200,-0.20592371035360602
2019-12-06,12047.349609375,12057.0498046875,11888.849609375,11921.5,11921.5,609200,-0.8062669529681155
2019-12-09,11939.099609375,11981.9501953125,11888.0498046875,11937.5,11937.5,599100,0.1342112989137334
2019-12-10,11950.5,11953.2001953125,11844.7001953125,11856.7998046875,11856.7998046875,650200,-0.6760225785340301
2019-12-11,11867.349609375,11923.2001953125,11832.2998046875,11910.150390625,11910.150390625,997700,0.44995771891509495
2019-12-12,11944.2998046875,12005.5,11934.0,11971.7998046875,11971.7998046875,752600,0.5176207859728388
2019-12-13,12026.400390625,12098.849609375,12023.599609375,12086.7001953125,12086.7001953125,597700,0.9597587037832866
2019-12-16,12131.349609375,12134.650390625,12046.2998046875,12053.9501953125,12053.9501953125,437700,-0.27095898360001147
2019-12-17,12082.4501953125,12182.75,12070.349609375,12165.0,12165.0,499600,0.9212731336046609
2019-12-18,12197.0,12237.7001953125,12163.4501953125,12221.650390625,12221.650390625,518900,0.46568344122481786
2019-12-19,12223.400390625,12268.349609375,12191.150390625,12259.7001953125,12259.7001953125,623100,0.3113311498149862
2019-12-20,12266.4501953125,12293.900390625,12252.75,12271.7998046875,12271.7998046875,810700,0.09869417018555371
2019-12-23,12235.4501953125,12287.150390625,12213.25,12262.75,12262.75,604800,-0.07374472230261553
2019-12-24,12269.25,12283.7001953125,12202.099609375,12214.5498046875,12214.5498046875,470300,-0.39306187692401684
2019-12-26,12211.849609375,12221.5498046875,12118.849609375,12126.5498046875,12126.5498046875,520300,-0.7204522590446127
2019-12-27,12172.900390625,12258.4501953125,12157.900390625,12245.7998046875,12245.7998046875,383800,0.9833794601157297
2019-12-30,12274.900390625,12286.4501953125,12213.7998046875,12255.849609375,12255.849609375,411100,0.08206736062803532
2019-12-31,12247.099609375,12247.099609375,12151.7998046875,12168.4501953125,12168.4501953125,426900,-0.7131240742024536
2020-01-01,12202.150390625,12222.2001953125,12165.2998046875,12182.5,12182.5,304100,0.1154609211690083
2020-01-02,12198.5498046875,12289.900390625,12195.25,12282.2001953125,12282.2001953125,407700,0.8183886337984836
2020-01-03,12261.099609375,12265.599609375,12191.349609375,12226.650390625,12226.650390625,428800,-0.4522789386603554
2020-01-06,12170.599609375,12179.099609375,11974.2001953125,11993.0498046875,11993.0498046875,396500,-1.9105853072941215
2020-01-07,12079.099609375,12152.150390625,12005.349609375,12052.9501953125,12052.9501953125,447800,0.4994592001242859
2020-01-08,11939.099609375,12044.9501953125,11929.599609375,12025.349609375,12025.349609375,446000,-0.22899444111396106
2020-01-09,12153.150390625,12224.0498046875,12132.5498046875,12215.900390625,12215.900390625,477500,1.5845758122611686
2020-01-10,12271.0,12311.2001953125,12213.2001953125,12256.7998046875,12256.7998046875,660600,0.33480474426501594
2020-01-13,12296.7001953125,12337.75,12285.7998046875,12329.5498046875,12329.5498046875,501000,0.5935480807329307
2020-01-14,12333.099609375,12374.25,12308.7001953125,12362.2998046875,12362.2998046875,616300,0.2656220260982112
2020-01-15,12349.400390625,12355.150390625,12278.75,12343.2998046875,12343.2998046875,684400,-0.15369308543056182
2020-01-16,12347.099609375,12389.0498046875,12315.7998046875,12355.5,12355.5,395700,0.09884063018437139
2020-01-17,12328.400390625,12385.4501953125,12321.400390625,12352.349609375,12352.349609375,502100,-0.0254978804985595
2020-01-20,12430.5,12430.5,12216.900390625,12224.5498046875,12224.5498046875,491600,-1.0346193941151438
2020-01-21,12195.2998046875,12230.0498046875,12162.2998046875,12169.849609375,12169.849609375,400,-0.4474618385662321
2020-01-22,12218.349609375,12225.0498046875,12087.900390625,12106.900390625,12106.900390625,500,-0.5172555189302153
2020-01-23,12123.75,12189.0,12094.099609375,12180.349609375,12180.349609375,867700,0.606672363529781
2020-01-24,12174.5498046875,12272.150390625,12149.650390625,12248.25,12248.25,593200,0.5574584704263197
2020-01-27,12197.099609375,12216.599609375,12107.0,12119.0,12119.0,441200,-1.0552527912150667
2020-01-28,12148.099609375,12163.5498046875,12024.5,12055.7998046875,12055.7998046875,478500,-0.5214967844912932
2020-01-29,12114.900390625,12169.599609375,12103.7998046875,12129.5,12129.5,514400,0.6113256399948197
2020-01-30,12147.75,12150.2998046875,12010.599609375,12035.7998046875,12035.7998046875,538100,-0.7724984155365044
2020-01-31,12100.400390625,12103.5498046875,11945.849609375,11962.099609375,11962.099609375,771300,-0.6123414854723341
2020-02-03,11627.4501953125,11749.849609375,11614.5,11707.900390625,11707.900390625,669800,-2.1250384719316173
2020-02-04,11786.25,11986.150390625,11783.400390625,11979.650390625,11979.650390625,560400,2.321082268667074
2020-02-05,12005.849609375,12098.150390625,11953.349609375,12089.150390625,12089.150390625,758000,0.9140500467834434
2020-02-06,12120.0,12160.599609375,12084.650390625,12137.9501953125,12137.9501953125,565100,0.40366612301674376
2020-02-07,12151.150390625,12154.7001953125,12073.9501953125,12098.349609375,12098.349609375,473500,-0.32625431230384194
2020-02-10,12102.349609375,12103.5498046875,11990.75,12031.5,12031.5,524700,-0.5525514763038308
2020-02-11,12108.400390625,12172.2998046875,12099.0,12107.900390625,12107.900390625,480000,0.6350030388978967
2020-02-12,12151.0,12231.75,12144.2998046875,12201.2001953125,12201.2001953125,411700,0.7705696419483266
2020-02-13,12219.5498046875,12225.650390625,12139.7998046875,12174.650390625,12174.650390625,501200,-0.21759994314084485
2020-02-14,12190.150390625,12246.7001953125,12091.2001953125,12113.4501953125,12113.4501953125,622800,-0.5026854435148831
2020-02-17,12131.7998046875,12159.599609375,12037.0,12045.7998046875,12045.7998046875,0,-0.558473346026378
2020-02-18,12028.25,12030.75,11908.0498046875,11992.5,11992.5,676900,-0.44247626186481037
2020-02-19,12090.599609375,12134.7001953125,12042.099609375,12125.900390625,12125.900390625,513600,1.112365150093808
2020-02-20,12119.0,12152.0,12071.4501953125,12080.849609375,12080.849609375,502600,-0.3715252459506435
2020-02-24,12012.5498046875,12012.5498046875,11813.400390625,11829.400390625,11829.400390625,490800,-2.081386879900149
2020-02-25,11877.5,11883.0498046875,11779.900390625,11797.900390625,11797.900390625,461000,-0.2662856861702312
2020-02-26,11738.5498046875,11783.25,11639.599609375,11678.5,11678.5,567600,-1.0120477938589723
2020-02-27,11661.25,11663.849609375,11536.7001953125,11633.2998046875,11633.2998046875,608600,-0.3870376787472707
2020-02-28,11382.0,11384.7998046875,11175.0498046875,11201.75,11201.75,809900,-3.709607866493836
2020-03-02,11387.349609375,11433.0,11036.25,11132.75,11132.75,680800,-0.6159751824491688
2020-03-03,11217.5498046875,11342.25,11152.5498046875,11303.2998046875,11303.2998046875,696500,1.5319647408546855
2020-03-04,11351.349609375,11356.599609375,11082.150390625,11251.0,11251.0,797700,-0.46269501465237006
2020-03-05,11306.0498046875,11389.5,11244.599609375,11269.0,11269.0,1352500,0.15998577904186018
2020-03-06,10942.650390625,11035.099609375,10827.400390625,10989.4501953125,10989.4501953125,1811000,-2.4806975302821943
2020-03-09,10742.0498046875,10751.5498046875,10294.4501953125,10451.4501953125,10451.4501953125,1565500,-4.895604333595161
2020-03-11,10334.2998046875,10545.099609375,10334.0,10458.400390625,10458.400390625,1218500,0.06649981756232659
2020-03-12,10039.9501953125,10040.75,9508.0,9590.150390625,9590.150390625,1343500,-8.301938801064711
2020-03-13,9107.599609375,10159.400390625,8555.150390625,9955.2001953125,9955.2001953125,1388000,3.8065076126893693
2020-03-16,9587.7998046875,9602.2001953125,9165.099609375,9197.400390625,9197.400390625,897700,-7.612100106679087
2020-03-17,9285.400390625,9403.7998046875,8915.599609375,8967.0498046875,8967.0498046875,935600,-2.504518409052825
2020-03-18,9088.4501953125,9127.5498046875,8407.0498046875,8468.7998046875,8468.7998046875,1516600,-5.556454027271506
2020-03-19,8063.2998046875,8575.4501953125,7832.5498046875,8263.4501953125,8263.4501953125,925700,-2.4247781753128472
2020-03-20,8284.4501953125,8883.0,8178.2001953125,8745.4501953125,8745.4501953125,1071500,5.832914685846569
2020-03-23,7945.7001953125,8159.25,7583.60009765625,7610.25,7610.25,653500,-12.980466070471241
2020-03-24,7848.2998046875,8036.9501953125,7511.10009765625,7801.0498046875,7801.0498046875,738400,2.507142402516349
2020-03-25,7735.14990234375,8376.75,7714.75,8317.849609375,8317.849609375,736900,6.624746894667499
2020-03-26,8451.0,8749.0498046875,8304.900390625,8641.4501953125,8641.4501953125,865600,3.8904356430389475
2020-03-27,8949.099609375,9038.900390625,8522.900390625,8660.25,8660.25,801500,0.21755381634551707
2020-03-30,8385.9501953125,8576.0,8244.0,8281.099609375,8281.099609375,593300,-4.378053643081891
2020-03-31,8529.349609375,8678.2998046875,8358.0,8597.75,8597.75,712700,3.8237722713360567
2020-04-01,8584.099609375,8588.099609375,8198.349609375,8253.7998046875,8253.7998046875,506300,-4.000467509668226
2020-04-03,8356.5498046875,8356.5498046875,8055.7998046875,8083.7998046875,8083.7998046875,697000,-2.0596574186770744
2020-04-07,8446.2998046875,8819.400390625,8360.9501953125,8792.2001953125,8792.2001953125,814200,8.763210467115034
2020-04-08,8688.900390625,9131.7001953125,8653.900390625,8748.75,8748.75,896500,-0.4941902407507137
2020-04-09,8973.0498046875,9128.349609375,8904.5498046875,9111.900390625,9111.900390625,742100,4.150883161880259
2020-04-13,9103.9501953125,9112.0498046875,8912.400390625,8993.849609375,8993.849609375,644000,-1.295567073707915
2020-04-15,9196.400390625,9261.2001953125,8874.099609375,8925.2998046875,8925.2998046875,879100,-0.7621853562688519
2020-04-16,8851.25,9053.75,8821.900390625,8992.7998046875,8992.7998046875,719400,0.7562771164790316
2020-04-17,9323.4501953125,9324.0,9091.349609375,9266.75,9266.75,684200,3.046328187687486
2020-04-20,9390.2001953125,9390.849609375,9230.7998046875,9261.849609375,9261.849609375,726400,-0.05288143766692954
2020-04-21,9016.9501953125,9044.400390625,8909.400390625,8981.4501953125,8981.4501953125,655100,-3.0274667144095657
2020-04-22,9026.75,9209.75,8946.25,9187.2998046875,9187.2998046875,734400,2.291941778872575
2020-04-23,9232.349609375,9343.599609375,9170.150390625,9313.900390625,9313.900390625,666700,1.377995587701486
2020-04-24,9163.900390625,9296.900390625,9141.2998046875,9154.400390625,9154.400390625,659400,-1.7124941572334906
2020-04-27,9259.7001953125,9377.099609375,9250.349609375,9282.2998046875,9282.2998046875,512800,1.3971358975458648
2020-04-28,9389.7998046875,9404.400390625,9260.0,9380.900390625,9380.900390625,614500,1.0622430648890235
2020-04-29,9408.599609375,9599.849609375,9392.349609375,9553.349609375,9553.349609375,653000,1.8383013524196468
2020-04-30,9753.5,9889.0498046875,9731.5,9859.900390625,9859.900390625,931200,3.208830345213909
2020-05-04,9533.5,9533.5,9266.9501953125,9293.5,9293.5,687500,-5.744483901313502
2020-05-05,9429.400390625,9450.900390625,9190.75,9205.599609375,9205.599609375,725200,-0.9458265521601117
2020-05-06,9226.7998046875,9346.900390625,9116.5,9270.900390625,9270.900390625,722200,0.7093593467121684
2020-05-07,9234.0498046875,9277.849609375,9175.900390625,9199.0498046875,9199.0498046875,708700,-0.7750119504051356
2020-05-08,9376.9501953125,9382.650390625,9238.2001953125,9251.5,9251.5,609100,0.5701697069383505
2020-05-11,9348.150390625,9439.900390625,9219.9501953125,9239.2001953125,9239.2001953125,704600,-0.13294930214019507
2020-05-12,9168.849609375,9240.849609375,9043.9501953125,9196.5498046875,9196.5498046875,805500,-0.4616242718351149
2020-05-13,9584.2001953125,9584.5,9351.099609375,9383.5498046875,9383.5498046875,846400,2.033371253039773
2020-05-14,9213.9501953125,9281.099609375,9119.75,9142.75,9142.75,602600,-2.5661909373274727
2020-05-15,9182.400390625,9182.400390625,9050.0,9136.849609375,9136.849609375,575900,-0.06453627874545287
2020-05-18,9158.2998046875,9158.2998046875,8806.75,8823.25,8823.25,773000,-3.4322509703259896
2020-05-19,8961.7001953125,9030.349609375,8855.2998046875,8879.099609375,8879.099609375,762200,0.632982284022332
2020-05-20,8889.150390625,9093.7998046875,8875.349609375,9066.5498046875,9066.5498046875,622300,2.1111396826158035
2020-05-21,9079.4501953125,9178.5498046875,9056.099609375,9106.25,9106.25,631500,0.4378754451001221
2020-05-22,9067.900390625,9149.599609375,8968.5498046875,9039.25,9039.25,675800,-0.735758407687026
2020-05-26,9099.75,9161.650390625,8996.650390625,9029.0498046875,9029.0498046875,655000,-0.11284338094974533
2020-05-27,9082.2001953125,9334.0,9004.25,9314.9501953125,9314.9501953125,763500,3.1664504771761637
2020-05-28,9364.9501953125,9511.25,9336.5,9490.099609375,9490.099609375,837900,1.8803043536468778
2020-05-29,9422.2001953125,9598.849609375,9376.900390625,9580.2998046875,9580.2998046875,967000,0.9504662651105722
2020-06-01,9726.849609375,9931.599609375,9706.9501953125,9826.150390625,9826.150390625,794200,2.5662097319460564
2020-06-02,9880.849609375,9995.599609375,9824.0498046875,9979.099609375,9979.099609375,770200,1.5565527970742954
2020-06-03,10108.2998046875,10176.2001953125,10035.5498046875,10061.5498046875,10061.5498046875,794700,0.8262288035990828
2020-06-04,10054.25,10123.849609375,9944.25,10029.099609375,10029.099609375,775100,-0.3225168681009971
2020-06-05,10093.7998046875,10177.7998046875,10040.75,10142.150390625,10142.150390625,987100,1.1272276241460544
2020-06-08,10326.75,10328.5,10120.25,10167.4501953125,10167.4501953125,936500,0.24945207587225848
2020-06-09,10181.150390625,10291.150390625,10021.4501953125,10046.650390625,10046.650390625,754200,-1.1881032349997822
2020-06-10,10072.599609375,10148.75,10036.849609375,10116.150390625,10116.150390625,632400,0.6917728526201428
2020-06-11,10094.099609375,10112.0498046875,9885.0498046875,9902.0,9902.0,715500,-2.116915846006606
2020-06-12,9544.9501953125,9996.0498046875,9544.349609375,9972.900390625,9972.900390625,796300,0.716020911179549
2020-06-15,9919.349609375,9943.349609375,9726.349609375,9813.7001953125,9813.7001953125,716100,-1.5963279394844432
2020-06-16,10014.7998046875,10046.150390625,9728.5,9914.0,9914.0,899900,1.022038606145803
2020-06-17,9876.7001953125,10003.599609375,9833.7998046875,9881.150390625,9881.150390625,685400,-0.3313456664817416
2020-06-18,9863.25,10111.2001953125,9845.0498046875,10091.650390625,10091.650390625,622900,2.130318755189853
2020-06-19,10119.0,10272.400390625,10072.650390625,10244.400390625,10244.400390625,892100,1.5136275444292302
2020-06-22,10318.75,10393.650390625,10277.599609375,10311.2001953125,10311.2001953125,685400,0.6520616350433883
2020-06-23,10347.9501953125,10484.7001953125,10301.75,10471.0,10471.0,669200,1.5497691991291696
2020-06-24,10529.25,10553.150390625,10281.9501953125,10305.2998046875,10305.2998046875,854800,-1.5824677233549855
2020-06-25,10235.5498046875,10361.7998046875,10194.5,10288.900390625,10288.900390625,994200,-0.1591357298992957
2020-06-26,10378.900390625,10409.849609375,10311.25,10383.0,10383.0,671900,0.914574014738645
2020-06-29,10311.9501953125,10337.9501953125,10223.599609375,10312.400390625,10312.400390625,574500,-0.6799538608783573
2020-06-30,10382.599609375,10401.0498046875,10267.349609375,10302.099609375,10302.099609375,556200,-0.09988732845714887
2020-07-01,10323.7998046875,10447.0498046875,10299.599609375,10430.0498046875,10430.0498046875,573600,1.2419817334717198
2020-07-02,10493.0498046875,10598.2001953125,10485.5498046875,10551.7001953125,10551.7001953125,597400,1.1663452514898642
2020-07-03,10614.9501953125,10631.2998046875,10562.650390625,10607.349609375,10607.349609375,525200,0.5273976044848361
2020-07-06,10723.849609375,10811.400390625,10695.099609375,10763.650390625,10763.650390625,571200,1.4735139974255018
2020-07-07,10802.849609375,10813.7998046875,10689.7001953125,10799.650390625,10799.650390625,636800,0.3344590235981215
2020-07-08,10818.650390625,10847.849609375,10676.5498046875,10705.75,10705.75,767900,-0.8694762073642059
2020-07-09,10755.5498046875,10836.849609375,10733.0,10813.4501953125,10813.4501953125,618700,1.0060032721901813
2020-07-10,10764.099609375,10819.400390625,10713.0,10768.0498046875,10768.0498046875,590700,-0.4198511095439339
2020-07-13,10851.849609375,10894.0498046875,10756.0498046875,10802.7001953125,10802.7001953125,554100,0.3217889149241815
2020-07-14,10750.849609375,10755.650390625,10562.900390625,10607.349609375,10607.349609375,532400,-1.808349601540049
2020-07-15,10701.0,10827.4501953125,10577.75,10618.2001953125,10618.2001953125,715900,0.10229309240368245
2020-07-16,10706.2001953125,10755.2998046875,10595.2001953125,10739.9501953125,10739.9501953125,694400,1.1466161662100571
2020-07-17,10752.0,10933.4501953125,10749.650390625,10901.7001953125,10901.7001953125,676900,1.506059125586967
2020-07-20,10999.4501953125,11037.900390625,10953.0,11022.2001953125,11022.2001953125,554300,1.1053321760931656
2020-07-21,11126.099609375,11179.5498046875,11113.25,11162.25,11162.25,772000,1.2706156865764484
2020-07-22,11231.2001953125,11238.099609375,11056.5498046875,11132.599609375,11132.599609375,765100,-0.2656309491813946
2020-07-23,11135.0,11239.7998046875,11103.150390625,11215.4501953125,11215.4501953125,621600,0.7442159858846331
2020-07-24,11149.9501953125,11225.400390625,11090.2998046875,11194.150390625,11194.150390625,678900,-0.18991484351116306
2020-07-27,11225.0,11225.0,11087.849609375,11131.7998046875,11131.7998046875,588100,-0.5569925698846956
2020-07-28,11154.099609375,11317.75,11151.400390625,11300.5498046875,11300.5498046875,683900,1.51592736988444
2020-07-29,11276.900390625,11341.400390625,11149.75,11202.849609375,11202.849609375,600700,-0.8645614328603224
2020-07-30,11254.2998046875,11299.9501953125,11084.9501953125,11102.150390625,11102.150390625,677800,-0.8988714680747911
2020-07-31,11139.5,11150.400390625,11026.650390625,11073.4501953125,11073.4501953125,642600,-0.2585102372305803
