Date,GDAXI_OPEN,GDAXI_HIGH,GDAXI_LOW,GDAXI_CLOSE,GDAXI_ADJ_CLOSE,GDAXI_VOLUME,GDAXI_DAILY_RETURNS
2020-01-13,13521.8603515625,13529.2099609375,13404.7197265625,13451.51953125,13451.51953125,67208300,-0.2357732639506782
2020-01-14,13439.2001953125,13487.900390625,13362.2001953125,13456.490234375,13456.490234375,74555400,0.036952725775352135
2020-01-15,13444.9501953125,13458.91015625,13388.48046875,13432.2998046875,13432.2998046875,72046400,-0.17976774973391674
2020-01-16,13463.4599609375,13492.740234375,13382.98046875,13429.4296875,13429.4296875,39611800,-0.021367280579143166
2020-01-17,13513.48046875,13557.7802734375,13497.2998046875,13526.1298828125,13526.1298828125,86342800,0.7200618161954164
2020-01-20,13503.830078125,13550.830078125,13487.2099609375,13548.9404296875,13548.9404296875,52882400,0.16864060209849097
2020-01-21,13456.900390625,13560.6796875,13443.25,13555.8701171875,13555.8701171875,64630900,0.05114560460253159
2020-01-22,13601.650390625,13640.0595703125,13498.0302734375,13515.75,13515.75,73130700,-0.29596120972442685
2020-01-23,13455.900390625,13486.1396484375,13382.23046875,13388.419921875,13388.419921875,90749900,-0.9420866627823044
2020-01-24,13512.83984375,13604.849609375,13510.7900390625,13576.6796875,13576.6796875,87986400,1.4061387880238696
2020-01-27,13374.990234375,13399.419921875,13195.2802734375,13204.76953125,13204.76953125,101409200,-2.73933071126673
2020-01-28,13274.009765625,13327.1201171875,13163.3603515625,13323.6904296875,13323.6904296875,91825300,0.9005904885811544
2020-01-29,13316.419921875,13371.2998046875,13296.0302734375,13345.0,13345.0,67876800,0.15993744694802192
2020-01-30,13186.490234375,13262.1796875,13118.9697265625,13157.1201171875,13157.1201171875,100706100,-1.4078672372611511
2020-01-31,13196.7998046875,13208.4697265625,12973.7001953125,12981.9697265625,12981.9697265625,106903800,-1.3312213392062677
2020-02-03,13033.169921875,13077.5703125,12987.5302734375,13045.1904296875,13045.1904296875,81389100,0.4869885268307339
2020-02-04,13135.6103515625,13282.6298828125,13131.0703125,13281.740234375,13281.740234375,80887400,1.813310476090657
2020-02-05,13224.26953125,13488.580078125,13223.1396484375,13478.330078125,13478.330078125,108453900,1.4801512473583633
2020-02-06,13570.330078125,13606.9697265625,13533.66015625,13574.8203125,13574.8203125,114567900,0.7158916113176428
2020-02-07,13530.76953125,13551.0302734375,13463.98046875,13513.8095703125,13513.8095703125,87036900,-0.4494405140031188
2020-02-10,13476.0,13501.740234375,13445.41015625,13494.0302734375,13494.0302734375,60456500,-0.14636359031173773
2020-02-11,13604.740234375,13668.4296875,13557.9599609375,13627.83984375,13627.83984375,104753500,0.9916204988505095
2020-02-12,13671.150390625,13758.7001953125,13658.150390625,13749.7802734375,13749.7802734375,86733300,0.8947891308205058
2020-02-13,13695.9296875,13745.4296875,13576.9599609375,13745.4296875,13745.4296875,92087000,-0.03164113062886775
2020-02-14,13756.4697265625,13788.509765625,13728.1201171875,13744.2099609375,13744.2099609375,66314900,-0.00887368812929612
2020-02-17,13770.669921875,13795.240234375,13754.0400390625,13783.8896484375,13783.8896484375,57400100,0.28870111568997103
2020-02-18,13668.9404296875,13731.3896484375,13660.4501953125,13681.1904296875,13681.1904296875,82088700,-0.745067041084746
2020-02-19,13751.0498046875,13789.0,13710.7802734375,13789.0,13789.0,90192900,0.7880130816581454
2020-02-20,13774.4404296875,13788.41015625,13664.0,13664.0,13664.0,86435200,-0.9065196896076544
2020-02-21,13609.9404296875,13689.23046875,13500.5,13579.330078125,13579.330078125,108765400,-0.6196569223872905
2020-02-24,13231.3798828125,13236.580078125,12982.1396484375,13035.240234375,13035.240234375,165148900,-4.006750263965353
2020-02-25,13132.0400390625,13132.0400390625,12778.66015625,12790.490234375,12790.490234375,129552500,-1.8776025266843521
2020-02-26,12682.16015625,12849.169921875,12368.0498046875,12774.8798828125,12774.8798828125,163618900,-0.12204654611710497
2020-02-27,12526.599609375,12593.6201171875,12211.6298828125,12367.4599609375,12367.4599609375,191240900,-3.189227026886954
2020-02-28,11891.8701171875,12008.58984375,11724.1201171875,11890.349609375,11890.349609375,274623700,-3.857787719300876
2020-03-02,12030.26953125,12121.599609375,11624.6298828125,11857.8701171875,11857.8701171875,207214100,-0.2731584289320743
2020-03-03,12013.0595703125,12272.990234375,11906.8203125,11985.3896484375,11985.3896484375,195936600,1.0753999663494884
2020-03-04,11992.58984375,12199.8203125,11929.240234375,12127.6904296875,12127.6904296875,147845700,1.1872853985064324
2020-03-05,12191.41015625,12207.76953125,11844.8798828125,11944.7197265625,11944.7197265625,148086000,-1.508701959254366
2020-03-06,11694.5595703125,11769.849609375,11447.2001953125,11541.8701171875,11541.8701171875,195038500,-3.372616675794815
2020-03-09,10690.080078125,10995.2197265625,10556.6396484375,10625.01953125,10625.01953125,305324300,-7.943691764233063
2020-03-10,10724.98046875,11032.2900390625,10423.900390625,10475.490234375,10475.490234375,267400800,-1.407331971816228
2020-03-11,10601.849609375,10761.4296875,10390.509765625,10438.6796875,10438.6796875,216708900,-0.35139688980099226
2020-03-12,9863.990234375,9932.5595703125,9139.1201171875,9161.1298828125,9161.1298828125,390477000,-12.23861487212149
2020-03-13,9480.7802734375,9985.740234375,9064.6796875,9232.080078125,9232.080078125,325900900,0.7744699204146333
2020-03-16,8728.48046875,8967.1103515625,8255.650390625,8742.25,8742.25,302202400,-5.305739053169944
2020-03-17,9141.169921875,9145.9296875,8423.5595703125,8939.099609375,8939.099609375,220092600,2.251704187995074
2020-03-18,8613.349609375,8670.41015625,8400.1796875,8441.7099609375,8441.7099609375,207558900,-5.564202997758927
2020-03-19,8495.9404296875,8668.48046875,8257.5302734375,8610.4296875,8610.4296875,205539300,1.9986439636426878
2020-03-20,9080.490234375,9201.0703125,8838.2998046875,8928.9501953125,8928.9501953125,286466000,3.699240564903583
2020-03-23,8536.330078125,9071.1396484375,8480.2802734375,8741.150390625,8741.150390625,197208600,-2.1032685879028734
2020-03-24,9242.0595703125,9700.5703125,9102.169921875,9700.5703125,9700.5703125,203840700,10.975899955959934
2020-03-25,9987.3701171875,10137.6201171875,9460.91015625,9874.259765625,9874.259765625,204692500,1.7905076457328084
2020-03-26,9621.240234375,10000.9599609375,9526.169921875,10000.9599609375,10000.9599609375,160450300,1.2831361369849414
2020-03-27,9793.5,9886.1796875,9541.830078125,9632.51953125,9632.51953125,156138300,-3.6840506424041575
2020-03-30,9725.8798828125,9817.509765625,9453.7900390625,9815.9697265625,9815.9697265625,131120200,1.9044881738090158
2020-03-31,9970.7900390625,10096.419921875,9703.8798828125,9935.83984375,9935.83984375,151505700,1.221174479207332
2020-04-01,9610.669921875,9686.4599609375,9498.0498046875,9544.75,9544.75,132862200,-3.936152855724717
2020-04-02,9587.4501953125,9650.26953125,9337.01953125,9570.8203125,9570.8203125,144225800,0.27313771968884293
2020-04-03,9535.26953125,9626.7197265625,9470.2001953125,9525.76953125,9525.76953125,116245300,-0.4707097174435626
2020-04-06,9889.0302734375,10097.3095703125,9841.490234375,10075.169921875,10075.169921875,126692200,5.7675171420287885
2020-04-07,10464.1103515625,10590.41015625,10225.01953125,10356.7001953125,10356.7001953125,149513100,2.7942980180041266
2020-04-08,10301.5595703125,10340.7900390625,10198.2197265625,10332.8896484375,10332.8896484375,102430700,-0.22990476141983018
2020-04-09,10490.650390625,10649.7900390625,10311.7001953125,10564.740234375,10564.740234375,134477100,2.243811690881259
2020-04-14,10733.9697265625,10820.169921875,10658.9599609375,10696.5595703125,10696.5595703125,106043700,1.247729078170745
2020-04-15,10678.1904296875,10678.1904296875,10243.1103515625,10279.759765625,10279.759765625,133088500,-3.8965781656028597
2020-04-16,10420.259765625,10438.3701171875,10236.240234375,10301.5400390625,10301.5400390625,106131500,0.21187531551400962
2020-04-17,10607.349609375,10756.7802734375,10542.7099609375,10625.7802734375,10625.7802734375,143341400,3.1474928325814444
2020-04-20,10704.349609375,10707.3095703125,10444.5498046875,10675.900390625,10675.900390625,103611100,0.4716841106981118
2020-04-21,10519.4404296875,10524.73046875,10249.849609375,10249.849609375,10249.849609375,121194400,-3.9907714165648756
2020-04-22,10370.25,10425.01953125,10321.2001953125,10415.0302734375,10415.0302734375,92389500,1.6115423187420985
2020-04-23,10437.3798828125,10608.3896484375,10325.1103515625,10513.7900390625,10513.7900390625,97907700,0.9482427130036886
2020-04-24,10299.3095703125,10486.4697265625,10299.3095703125,10336.08984375,10336.08984375,120035000,-1.690163058728389
2020-04-27,10551.0703125,10660.3603515625,10523.099609375,10659.990234375,10659.990234375,122476600,3.1336839706444186
2020-04-28,10658.4697265625,10897.8203125,10651.580078125,10795.6298828125,10795.6298828125,146549900,1.272418130366626
2020-04-29,10812.740234375,11125.349609375,10789.51953125,11107.740234375,11107.740234375,145350700,2.891080510822297
2020-04-30,11195.2099609375,11235.5703125,10839.2998046875,10861.6396484375,10861.6396484375,162733400,-2.215577432895799
2020-05-04,10543.3603515625,10578.4296875,10426.0595703125,10466.7998046875,10466.7998046875,140425100,-3.63517716044649
2020-05-05,10627.0703125,10736.9501953125,10518.9404296875,10729.4599609375,10729.4599609375,103766700,2.509460017878329
2020-05-06,10716.509765625,10773.8603515625,10598.900390625,10606.2001953125,10606.2001953125,94905700,-1.1487974797776301
2020-05-07,10640.76953125,10761.8603515625,10617.23046875,10759.26953125,10759.26953125,102151600,1.4432061729812595
2020-05-08,10882.4404296875,10918.3203125,10819.0703125,10904.48046875,10904.48046875,81795700,1.3496356521066621
2020-05-11,10948.240234375,10986.2197265625,10740.8203125,10824.990234375,10824.990234375,88080900,-0.7289685611598151
2020-05-12,10777.740234375,10886.009765625,10772.580078125,10819.5,10819.5,88857600,-0.05071814621657733
2020-05-13,10669.990234375,10698.1298828125,10530.3203125,10542.66015625,10542.66015625,108739000,-2.5587119899255995
2020-05-14,10418.0400390625,10474.080078125,10160.8896484375,10337.01953125,10337.01953125,133623600,-1.9505572782604563
2020-05-15,10470.849609375,10547.1904296875,10382.5400390625,10465.169921875,10465.169921875,116082600,1.2397228256905812
2020-05-18,10683.8603515625,11089.5,10677.51953125,11058.8701171875,11058.8701171875,118984900,5.673106120059335
2020-05-19,11200.919921875,11201.1796875,10936.0703125,11075.2900390625,11075.2900390625,125543400,0.14847739146046646
2020-05-20,11029.330078125,11246.91015625,10978.5703125,11223.7099609375,11223.7099609375,98827200,1.3400996393911457
2020-05-21,11088.1201171875,11194.919921875,11036.91015625,11065.9296875,11065.9296875,73570300,-1.4057764677333218
2020-05-22,10896.2802734375,11138.150390625,10867.169921875,11073.8701171875,11073.8701171875,86150600,0.07175564920198774
2020-05-25,11186.0400390625,11391.2802734375,11118.1201171875,11391.2802734375,11391.2802734375,72133500,2.8662983481931414
2020-05-26,11488.990234375,11544.349609375,11429.8798828125,11504.650390625,11504.650390625,124580900,0.9952359565049029
2020-05-27,11530.2001953125,11747.2001953125,11519.76953125,11657.6904296875,11657.6904296875,168966900,1.3302450215020079
2020-05-28,11746.7802734375,11813.1396484375,11654.830078125,11781.1298828125,11781.1298828125,124127000,1.0588671389887727
2020-05-29,11649.3701171875,11729.98046875,11575.740234375,11586.849609375,11586.849609375,170600400,-1.6490801423124535
2020-06-02,11896.7001953125,12055.5703125,11850.33984375,12021.2802734375,12021.2802734375,143102700,3.749342389936605
2020-06-03,12147.1201171875,12507.41015625,12133.7001953125,12487.3603515625,12487.3603515625,152036900,3.8771251274696716
2020-06-04,12390.0302734375,12558.240234375,12326.4404296875,12430.5595703125,12430.5595703125,138856600,-0.45486619790621186
2020-06-05,12565.16015625,12858.7900390625,12560.1904296875,12847.6796875,12847.6796875,168928500,3.355602093599175
2020-06-08,12722.6796875,12913.1298828125,12670.9501953125,12819.58984375,12819.58984375,140371700,-0.21863748500307034
2020-06-09,12859.830078125,12864.91015625,12502.4501953125,12617.990234375,12617.990234375,145984300,-1.5725901673311893
